interactingUser	interactedUser	timestamp
3018964824	272695815	1427755263000
2871128505	2871128505	1427755577000
2844439689	10228272	1427755707000
248257339	96005647	1427756335000
3103027871	296228173	1427756427000
16645602	10228272	1427756650000
248257339	245675337	1427756712000
242765627	2441831348	1427756745000
3091177192	10228272	1427758044000
2707465913	84358380	1427758944000
932461242	2385387926	1427759025000
20523846	577401044	1427759067000
16912185	2808379121	1427759835000
2884051694	23031648	1427759957000
1670369040	260708432	1427760301000
409875855	40055885	1427761035000
2797007451	270684518	1427761856000
293046531	10228272	1427763140000
475212144	34507480	1427764132000
2607221768	245726757	1427766209000
239162746	7996082	1427767110000
156132825	156132825	1427768885000
196544410	3069778420	1427770202000
542131244	45110535	1427772899000
205029627	262389559	1427776209000
39054130	357122455	1427776313000
231000704	295608887	1427776446000
57621590	231000704	1427776602000
16645602	2301942487	1427779521000
17595659	250620677	1427781120000
2205275016	2935313757	1427782260000
1693561842	467503048	1427782444000
1693561842	31090827	1427782545000
280682472	14824411	1427782657000
280682472	2288138575	1427782657000
166871011	452892182	1427784864000
42075966	15726473	1427784972000
189259363	1187647735	1427785334000
2597225182	702541567	1427785762000
41583102	57621590	1427786668000
57621590	41583102	1427786892000
15726473	42075966	1427787539000
15726473	42075966	1427787716000
15726473	2385532513	1427787716000
275249886	293385052	1427787773000
1153838384	228609209	1427788077000
150248107	31090827	1427788266000
2408907504	89907746	1427788604000
1087169972	483815782	1427789225000
1087169972	841612620	1427789225000
188314575	15243058	1427789570000
29050396	316330878	1427790095000
256910337	10228272	1427790302000
490456608	84279963	1427790384000
302496178	57377653	1427790539000
3026203202	122556667	1427790700000
57621590	41583102	1427790871000
1087169972	483815782	1427790873000
1087169972	841612620	1427790873000
57621590	41583102	1427790878000
150248107	48822802	1427790894000
57621590	41583102	1427790897000
490456608	84279963	1427791250000
397431402	80899853	1427792030000
2872140125	11904592	1427792151000
2872140125	789758492	1427792317000
1098562057	11940072	1427792580000
2935689130	10228272	1427792811000
106144676	2915241221	1427792820000
2872140125	535707261	1427792971000
2872140125	11713422	1427792999000
2872140125	17138110	1427793024000
2872140125	14436317	1427793048000
2872140125	197863865	1427793048000
1657518528	404246300	1427793066000
248257339	86343604	1427793826000
36997156	351789836	1427794204000
198829810	2192588095	1427794828000
2473785614	718485116	1427794949000
1009694810	910750945	1427795031000
2794293607	276034185	1427795035000
552518177	14436317	1427795142000
2245522548	1403362556	1427795299000
2904981495	350765919	1427795509000
2904981495	435909599	1427795509000
2360997500	76739159	1427795867000
297299189	2212607281	1427796019000
1009694810	305159698	1427796145000
1036774746	507672047	1427796233000
1663125457	109237258	1427796789000
113117397	277402869	1427797010000
321106050	44992826	1427797073000
413178129	198829810	1427797308000
413178129	198829810	1427797802000
2835112109	447079576	1427797937000
260355012	2572513062	1427798348000
413178129	198829810	1427798455000
413178129	408394577	1427798455000
260355012	819051	1427798600000
260355012	345855162	1427798600000
260355012	2572513062	1427798600000
447079576	2835112109	1427798691000
289502635	120118721	1427798776000
127444973	538350798	1427799092000
406501981	11254812	1427799469000
300430009	10228272	1427799704000
2408907504	476766533	1427800365000
2408907504	476766533	1427800489000
335840320	2840587343	1427800752000
821324000	302551167	1427800981000
2949245049	1170146617	1427801269000
16645602	2301942487	1427801296000
2915241221	106144676	1427801540000
248257339	14525982	1427801598000
157621749	15095537	1427801974000
2865392162	1638340399	1427802328000
2865392162	1638340399	1427802469000
1288430556	147332606	1427802476000
552518177	274794931	1427802558000
552518177	494308508	1427802558000
552518177	494308508	1427802626000
552518177	494308508	1427802677000
2835112109	923606425	1427802910000
473142323	333595603	1427803076000
260355012	197132634	1427803300000
16645602	2301942487	1427803466000
2835112109	923606425	1427803871000
2530672716	185543792	1427804103000
185566296	2582748691	1427804982000
40054776	32353247	1427804987000
40054776	222806880	1427804987000
40054776	404246300	1427804987000
921677660	928518679	1427805116000
2588190121	573043531	1427805460000
282193396	10228272	1427805725000
2707042897	245603292	1427806187000
260355012	197132634	1427807587000
1288430556	388934098	1427808268000
541695793	2277709645	1427808761000
62518724	106144676	1427808938000
1288430556	388934098	1427809156000
371031738	10228272	1427809320000
236904416	14457019	1427809340000
2192588095	198829810	1427809434000
282193396	10228272	1427809561000
289502635	40054776	1427809924000
311407634	121759418	1427809933000
542763979	1638340399	1427810109000
542763979	1638340399	1427810216000
248257339	168195769	1427810296000
504914052	504914052	1427811447000
406501981	230377004	1427811560000
406501981	242101122	1427811560000
406501981	42075966	1427811605000
303623176	701423664	1427811620000
280682472	40055885	1427811915000
123625838	42075966	1427811945000
2186636753	1459764907	1427812174000
113117397	8330472	1427812372000
380904886	1308854942	1427812674000
380904886	701423664	1427812699000
280673249	14985704	1427812783000
380904886	2395055839	1427812811000
2274252840	2525377410	1427812982000
29323152	106144676	1427813349000
29323152	2241723434	1427813353000
400565559	122104594	1427813383000
155419528	335604919	1427813435000
406501981	16548023	1427813596000
172576507	404246300	1427813870000
172576507	529324813	1427813870000
615658868	715027573	1427813876000
406501981	16548023	1427814243000
1474043701	10228272	1427814543000
1474043701	272365112	1427814543000
239034334	1377131172	1427814586000
107830968	258417947	1427814684000
1537352294	1537352294	1427815225000
185566296	140389801	1427815302000
404246300	387886034	1427815598000
404246300	1657518528	1427815604000
404246300	40054776	1427815658000
404246300	172576507	1427815666000
161363233	16308919	1427816013000
2525377410	2274252840	1427816271000
289502635	172576507	1427816439000
289502635	458727413	1427816667000
7996522	198189732	1427817941000
426484510	204516012	1427818196000
2935689130	10228272	1427818545000
1402420620	1880592055	1427818559000
2935689130	10228272	1427818615000
2935689130	2935689130	1427818615000
1482241891	2963126091	1427818964000
1626469890	573043531	1427819047000
87287396	2239790800	1427819644000
3013922218	1852484394	1427820179000
599359597	192765544	1427820185000
599359597	192765544	1427820208000
3013922218	1852484394	1427820295000
3013922218	1852484394	1427820444000
3013922218	1852484394	1427820560000
242765627	2316869533	1427820680000
242765627	2316869533	1427820701000
3013922218	1852484394	1427820835000
1852484394	3013922218	1427820879000
3013922218	1852484394	1427820934000
3013922218	1852484394	1427820954000
1852484394	3013922218	1427821093000
94724682	208902672	1427821181000
3013922218	1852484394	1427821326000
2805277507	106144676	1427821527000
3013922218	1852484394	1427821535000
289502635	249897759	1427821620000
2560393154	192765544	1427822039000
268989775	26729931	1427822079000
2805277507	106144676	1427822171000
282193396	10228272	1427822531000
2342650747	166507237	1427822656000
170340434	2753696817	1427822876000
1288430556	147332606	1427822911000
1288430556	147332606	1427823026000
369928641	10228272	1427823394000
198189732	7996522	1427823422000
599359597	192765544	1427823621000
599359597	479092619	1427823621000
210167515	26223032	1427823629000
2935689130	10228272	1427823716000
208902672	94724682	1427824480000
734012760	10228272	1427824488000
2362498820	61033129	1427824552000
2963126091	1482241891	1427824583000
705964540	204086002	1427824605000
2203715082	40054776	1427825466000
2203715082	40054776	1427826090000
449099460	40054776	1427826183000
449099460	40054776	1427826418000
449099460	266181014	1427826418000
3103027871	1539451436	1427826824000
1231398625	222806880	1427826866000
449099460	40054776	1427827067000
265531223	14436030	1427827186000
1665016915	2569339297	1427827542000
1321368938	475585621	1427827879000
2597225182	475585621	1427828371000
940101824	479441666	1427828406000
2597225182	475585621	1427828414000
2597225182	702541567	1427828439000
2597225182	1321368938	1427828540000
1513352899	3029754919	1427828552000
2597225182	475585621	1427828554000
3103027871	2194494121	1427828734000
227850282	460295854	1427828852000
300430009	10228272	1427828905000
1239473916	319981198	1427829658000
634847490	3039696146	1427830444000
248257339	458496089	1427830692000
753002065	10228272	1427830728000
753002065	10228272	1427831331000
85148599	275686563	1427831615000
1036774746	23791197	1427831691000
1036774746	364528766	1427831691000
705964540	996137666	1427831920000
3026203202	2582748691	1427831987000
3103027871	2194494121	1427832311000
1288430556	10613562	1427832339000
1578655242	39954303	1427832468000
3130831667	45110535	1427832480000
320206967	3094761587	1427832503000
128854402	230175706	1427832609000
474023564	459236013	1427832740000
1864271778	311867885	1427832935000
1578655242	69962890	1427833064000
233974683	460295854	1427833220000
98717763	15164565	1427833353000
632147445	942715772	1427833907000
2311952102	2367885001	1427834212000
474023564	165844913	1427834327000
513717650	306112241	1427834351000
460474793	28826893	1427834452000
2311952102	1290550819	1427834482000
632147445	942715772	1427834597000
301468529	2285611350	1427835472000
2360997500	342362234	1427835594000
3010589987	246362099	1427836271000
2360997500	274708552	1427836909000
2186636753	303760268	1427837021000
504914052	504914052	1427837273000
921677660	928518679	1427837514000
1288430556	1112757547	1427837685000
327321032	102928452	1427837861000
488073441	351762006	1427838789000
2235038405	342134595	1427839111000
388389623	3130840024	1427839130000
488073441	351762006	1427839149000
488073441	351762006	1427839244000
488073441	351762006	1427839303000
1265409714	2583283474	1427839361000
2416566950	10228272	1427839545000
248257339	3001962526	1427839884000
336570101	1484784811	1427840265000
381536784	222806880	1427840321000
1665016915	2569339297	1427840534000
1665016915	17962098	1427840755000
1665016915	245093469	1427840761000
293046531	10228272	1427841243000
297048753	813286	1427841297000
297048753	466805503	1427841297000
1402420620	1880592055	1427841379000
69361606	1907491824	1427841403000
3103027871	2194494121	1427841942000
310455276	112567773	1427842705000
3103027871	2194494121	1427842867000
242765627	2441831348	1427842915000
310455276	112567773	1427842927000
242765627	404740528	1427843132000
310455276	245093469	1427843291000
504914052	504914052	1427843331000
310455276	245093469	1427843365000
2208886780	115516167	1427843515000
166871011	266266303	1427845275000
166871011	266266303	1427845413000
166871011	266266303	1427845991000
274705983	2788203272	1427846995000
208009524	90625112	1427847644000
2353831922	383279822	1427850453000
1074894116	243426102	1427853548000
2788203272	160403945	1427854034000
2788203272	274705983	1427854034000
2788203272	762719641	1427854034000
259925559	105119490	1427856112000
274705983	2788203272	1427858836000
542131244	45110535	1427860926000
1492035258	494588158	1427860952000
265837555	40054776	1427861652000
1153838384	23166803	1427864220000
266242208	587626444	1427864878000
2597225182	17191272	1427866996000
2797007451	338894386	1427868066000
2438686200	516537621	1427868345000
2438686200	110942823	1427868532000
2438686200	1694278796	1427868696000
28843060	497247399	1427871099000
15255466	40055885	1427871235000
289502635	16713137	1427871345000
15255466	84159349	1427872026000
893731075	2935313757	1427872104000
3074566397	10228272	1427872545000
327321032	7820872	1427872830000
216331678	19019325	1427872844000
1036774746	23791197	1427873037000
188371632	48822802	1427873374000
16645602	2301942487	1427873582000
16645602	2301942487	1427873598000
2597225182	475585621	1427873651000
266601231	525416576	1427874197000
460295854	227850282	1427874778000
248257339	426484510	1427874940000
460295854	233974683	1427875256000
248257339	19292516	1427875399000
955449966	2753696817	1427875770000
62518724	14874480	1427876296000
62518724	437359209	1427876296000
57621590	41583102	1427876442000
57621590	41583102	1427876448000
57621590	41583102	1427876450000
57621590	41583102	1427876460000
87481093	127444973	1427876506000
87481093	588326966	1427876506000
15255466	16713137	1427876601000
289502635	16713137	1427876682000
289502635	154108364	1427876682000
16713137	15255466	1427876690000
15255466	16713137	1427876698000
15255466	16713137	1427876729000
2235038405	342134595	1427877158000
301524286	13426312	1427877254000
301524286	110942823	1427877254000
304618425	27270779	1427878719000
274654144	274654144	1427878966000
803291118	475585621	1427879128000
260355012	197132634	1427879162000
474023564	383693863	1427879435000
635261222	116845343	1427880239000
1665016915	137299226	1427881003000
1665016915	2569339297	1427881101000
835937509	49661824	1427881406000
2325984198	577401044	1427881516000
1513739664	426109290	1427881636000
16713137	261632059	1427881720000
16713137	777966588	1427881720000
289502635	16713137	1427881931000
289502635	154108364	1427882027000
16645602	2301942487	1427882320000
289502635	42267436	1427882721000
955449966	1962437856	1427882758000
306457955	195415139	1427883127000
146616316	106144676	1427884197000
84295758	84563913	1427884428000
1566701912	76739159	1427884942000
214038312	107248019	1427885661000
300430009	10228272	1427886078000
408448532	700791180	1427887119000
700791180	408448532	1427887169000
700791180	700791180	1427887169000
408448532	700791180	1427887222000
404139179	453199186	1427887424000
453199186	404139179	1427887467000
955449966	3024397739	1427887494000
955449966	164272584	1427887522000
131212643	2915241221	1427887800000
421400887	995467531	1427887883000
705803312	408448532	1427887899000
1066786543	847146180	1427888216000
955449966	3024397739	1427888676000
2188926079	870075288	1427888849000
2975093331	2246184719	1427889473000
